Wall time,Step,Value
1684846061.4664009,0,0.00810427125543356
1684846073.818884,1,0.007449059281498194
1684846086.3333054,2,0.0067953430116176605
1684846102.9419026,3,0.006201667711138725
1684846121.4001322,4,0.005782235413789749
1684846137.6887424,5,0.005591887515038252
1684846154.57949,6,0.00541716767475009
1684846170.948962,7,0.005400674417614937
1684846187.1867468,8,0.0051441313698887825
1684846202.765638,9,0.005264819134026766
1684846219.7387378,10,0.005185102112591267
1684846235.9986863,11,0.005183136090636253
1684846252.113381,12,0.00514830881729722
1684846268.5407913,13,0.004962414037436247
1684846284.5830429,14,0.0048493435606360435
1684846301.0964859,15,0.004815569147467613
1684846318.0876772,16,0.004737996030598879
1684846334.645554,17,0.004591105040162802
1684846351.5040185,18,0.004519354552030563
1684846368.0481179,19,0.004520889837294817
1684846384.9974291,20,0.004602041561156511
1684846400.285365,21,0.004535508342087269
1684846416.940107,22,0.004502422176301479
1684846433.8475244,23,0.0043885838240385056
1684846450.805497,24,0.004320585634559393
1684846467.2230961,25,0.004348280373960733
1684846484.108723,26,0.00429906789213419
1684846500.573288,27,0.00420756870880723
1684846516.4252188,28,0.004244915209710598
1684846533.566494,29,0.004236428067088127
