Wall time,Step,Value
1685443551.0252936,0,0.020544178783893585
1685443646.835264,1,0.013954302296042442
1685443663.7864804,2,0.011767145246267319
1685443680.495229,3,0.010462669655680656
1685443700.984904,4,0.00955878384411335
1685443722.8686814,5,0.009136687032878399
1685443739.9071405,6,0.008929320611059666
1685443760.760303,7,0.008639708161354065
1685443784.9739602,8,0.008051600307226181
1685443800.9015017,9,0.008080359548330307
1685443816.198949,10,0.007787719834595919
1685443836.816914,11,0.007638677954673767
1685443852.4696562,12,0.007430111523717642
1685443873.7758834,13,0.007213436998426914
1685443889.6004322,14,0.007137938868254423
1685443912.2714117,15,0.006943374406546354
1685443927.019356,16,0.006745186634361744
1685443941.8554537,17,0.006609340198338032
1685443956.9507215,18,0.0065025812946259975
1685443971.8548224,19,0.00640969630330801
1685443987.7273602,20,0.006370886694639921
1685444008.551007,21,0.0061740330420434475
1685444029.1971698,22,0.006157728843390942
1685444044.1992955,23,0.006043686997145414
1685444057.7562823,24,0.005975794978439808
1685444071.6559887,25,0.005945886485278606
1685444085.3529084,26,0.005937024485319853
1685444099.245106,27,0.005848781671375036
1685444113.5816138,28,0.005897274240851402
1685444130.6897428,29,0.005985786207020283
