Wall time,Step,Value
1685440422.2592154,0,0.02989843860268593
1685440449.386479,1,0.022926373407244682
1685440481.2959518,2,0.019367948174476624
1685440512.161766,3,0.0180125143378973
1685440538.5124733,4,0.016522584483027458
1685440604.051112,5,0.015826843678951263
1685440702.3841817,6,0.01538492925465107
1685440820.8656282,7,0.014923864975571632
1685440895.131505,8,0.014187694527208805
1685440920.4014466,9,0.01417379267513752
1685440947.660882,10,0.013783914968371391
1685440973.8806815,11,0.013662630692124367
1685441002.0204682,12,0.013233903795480728
1685441037.0563362,13,0.012906691990792751
1685441087.1536338,14,0.012678705155849457
1685441137.8166084,15,0.01243033166974783
1685441236.2820623,16,0.012102598324418068
1685441372.5394309,17,0.011881186626851559
1685441523.7414699,18,0.011761973612010479
1685441611.290647,19,0.01176849938929081
1685441628.0139658,20,0.011707373894751072
1685441646.3202386,21,0.011479764245450497
1685441662.2884364,22,0.011526159942150116
1685441678.5604582,23,0.011662500910460949
1685441694.604426,24,0.011184909380972385
1685441708.886012,25,0.011021769605576992
1685441723.7570634,26,0.01087853405624628
1685441738.6906006,27,0.010640386492013931
1685441753.9358933,28,0.01079558301717043
1685441768.663999,29,0.010825378820300102
