Wall time,Step,Value
1685547244.2427645,0,0.7748098969459534
1685547364.654604,1,0.7865162491798401
1685547485.7618697,2,0.7942625284194946
1685547624.253691,3,0.7977312803268433
1685547738.2633495,4,0.8017179369926453
1685547778.9339888,5,0.8046034574508667
1685547844.426216,6,0.8036704659461975
1685547975.7986336,7,0.8046514987945557
1685548018.0975192,8,0.8096393346786499
1685548173.2814186,9,0.8096731305122375
1685548309.5733085,10,0.8113787770271301
1685548460.9931738,11,0.8128641843795776
1685548595.4951904,12,0.8148144483566284
1685548771.8290873,13,0.8159502744674683
1685548910.2279847,14,0.8176117539405823
1685549046.2326758,15,0.8183010220527649
1685549175.5247383,16,0.8194745779037476
1685549350.666711,17,0.8209483027458191
1685549518.1698248,18,0.8213657140731812
1685549665.7163978,19,0.8224701881408691
1685549820.2092023,20,0.8213022351264954
1685549969.640579,21,0.821655809879303
1685550069.1606228,22,0.8229132890701294
1685550160.9438014,23,0.8228598237037659
1685550314.7727256,24,0.8247261643409729
1685550360.848123,25,0.8243863582611084
1685550529.972924,26,0.8242952227592468
1685550717.0098643,27,0.8261001110076904
1685550814.73077,28,0.826127290725708
1685550879.1920965,29,0.8258076310157776
