Wall time,Step,Value
1685111788.6901882,0,0.022101430222392082
1685111930.8220358,1,0.01996251754462719
1685111943.8022168,2,0.0189509354531765
1685111956.44614,3,0.018291160464286804
1685111969.3977764,4,0.017942532896995544
1685111981.2261312,5,0.017589107155799866
1685111994.362971,6,0.017388906329870224
1685112007.439373,7,0.017155807465314865
1685112025.416574,8,0.016994783654808998
1685112038.0363064,9,0.016843430697917938
1685112050.6026757,10,0.0167109165340662
1685112061.983125,11,0.016667600721120834
1685112072.677489,12,0.016342666000127792
1685112083.4878588,13,0.016342785209417343
1685112093.7650378,14,0.016266999766230583
1685112104.807899,15,0.015909511595964432
1685112115.732,16,0.015802402049303055
1685112125.9014864,17,0.015606595203280449
1685112136.968533,18,0.015570658259093761
1685112148.0759344,19,0.015527311712503433
1685112159.234719,20,0.015376023016870022
1685112170.7412198,21,0.015171987004578114
1685112181.912343,22,0.015057757496833801
1685112192.965644,23,0.015195445157587528
1685112204.2017374,24,0.014954930171370506
1685112214.5526881,25,0.014775589108467102
1685112225.436491,26,0.014888681471347809
1685112236.192016,27,0.014592854306101799
1685112246.4876668,28,0.014626712538301945
1685112257.5031848,29,0.014514565467834473
