Wall time,Step,Value
1685101724.79489,0,0.045877207070589066
1685101742.5469372,1,0.023430224508047104
1685101760.3510602,2,0.015178623609244823
1685101774.7277586,3,0.011515348218381405
1685101788.5293694,4,0.010167342610657215
1685101800.456214,5,0.009419281966984272
1685101811.87982,6,0.009270518086850643
1685101824.6414783,7,0.00875692255795002
1685101836.6104026,8,0.00872514583170414
1685101848.7722673,9,0.008611402474343777
1685101860.6829324,10,0.008245664648711681
1685101872.4870331,11,0.008071808144450188
1685101883.6159194,12,0.008112961426377296
1685101895.3720021,13,0.007814676500856876
1685101907.1940722,14,0.007869995199143887
1685101919.2125082,15,0.007828050293028355
1685101931.5013654,16,0.007633841596543789
1685101944.5671582,17,0.007624062243849039
1685101957.09193,18,0.007518255151808262
1685101969.9424877,19,0.007494551129639149
1685101982.172299,20,0.0073385415598750114
1685101996.0084236,21,0.007234480697661638
1685102009.3720264,22,0.00724017433822155
1685102022.9990084,23,0.007206018082797527
1685102036.7930133,24,0.007200916763395071
1685102052.4210138,25,0.007281048223376274
1685102069.3201845,26,0.0071373870596289635
1685102084.6286643,27,0.00716272322461009
1685102101.3484662,28,0.007007164414972067
1685102114.988086,29,0.006913241930305958
