Wall time,Step,Value
1688731396.8704293,1,0.017238067463040352
1688731471.3923566,2,0.01380887906998396
1688731553.5930092,3,0.012345784343779087
1688731639.8256857,4,0.011266600340604782
1688731720.5362878,5,0.010362439788877964
1688731801.9563212,6,0.009784853085875511
1688731890.6081674,7,0.009297034703195095
1688731970.2683918,8,0.009169165045022964
1688732054.3897023,9,0.009278750978410244
1688732139.1705503,10,0.00937055516988039
1688732224.265418,11,0.010120387189090252
1688732312.4968042,12,0.009569988586008549
1688732407.7029953,13,0.008702937513589859
1688732488.5436885,14,0.008274491876363754
1688732567.692482,15,0.007860046811401844
1688732645.8670254,16,0.007659308146685362
1688732720.487527,17,0.007512322161346674
1688732795.4563668,18,0.00742732547223568
1688732878.7533646,19,0.007395139895379543
1688732965.0988505,20,0.0075646354816854
1688733043.7562025,21,0.007659000810235739
1688733131.1774855,22,0.007873866707086563
1688733215.0468683,23,0.007655357010662556
1688733297.792663,24,0.007391690742224455
1688733377.9457521,25,0.007248464040458202
1688733448.130684,26,0.0070327832363545895
1688733522.9320347,27,0.006892544217407703
1688733578.8588383,28,0.006776915397495031
1688733633.415074,29,0.006672747433185577
1688733677.3798144,30,0.006691736169159412
