Wall time,Step,Value
1684846084.875948,0,0.00795047078281641
1684846101.187228,1,0.007155547384172678
1684846121.3851426,2,0.006920388899743557
1684846137.035639,3,0.006748838350176811
1684846152.3193488,4,0.006554973777383566
1684846167.7673378,5,0.006460203323513269
1684846183.7868867,6,0.006485410500317812
1684846198.4217288,7,0.006396451033651829
1684846213.2424142,8,0.006287579424679279
1684846228.3016436,9,0.006193121895194054
1684846243.9407523,10,0.006237986963242292
1684846258.854222,11,0.006191333290189505
1684846275.2126231,12,0.006043940782546997
1684846291.3623998,13,0.0060400208458304405
1684846305.2824967,14,0.006167806219309568
1684846320.578443,15,0.006004282273352146
1684846335.4083734,16,0.005966786295175552
1684846351.4753,17,0.005907350219786167
1684846367.2835107,18,0.005820164456963539
1684846382.4449236,19,0.00596638722345233
1684846398.0905044,20,0.005849234759807587
1684846412.7518923,21,0.005810380447655916
1684846426.7320914,22,0.0058796582743525505
1684846441.7785034,23,0.005814814008772373
1684846456.4329631,24,0.005831606220453978
1684846472.5401802,25,0.005782829597592354
1684846486.816198,26,0.005626274738460779
1684846502.727293,27,0.005809661466628313
1684846517.401674,28,0.005595611408352852
1684846532.7238674,29,0.00567462807521224
