Wall time,Step,Value
1685892056.3171253,0,0.027452116832137108
1685892078.426643,1,0.02201102301478386
1685892100.6329203,2,0.019709162414073944
1685892123.2407916,3,0.018437933176755905
1685892145.4694967,4,0.017299983650445938
1685892167.5441952,5,0.016565293073654175
1685892189.7917666,6,0.016293402761220932
1685892211.924519,7,0.015715384855866432
1685892234.171994,8,0.014965416863560677
1685892256.4268718,9,0.014934076927602291
1685892278.6619213,10,0.014751233160495758
1685892300.9551337,11,0.014416188932955265
1685892323.164763,12,0.01378521416336298
1685892345.3550572,13,0.013421662151813507
1685892367.537537,14,0.013369311578571796
1685892389.6841528,15,0.012982582673430443
1685892411.7084026,16,0.012712765485048294
1685892433.9236715,17,0.012546278536319733
1685892455.939361,18,0.012281063944101334
1685892478.131462,19,0.012176294811069965
1685892500.368536,20,0.012091685086488724
1685892522.4375663,21,0.01179385744035244
1685892544.6079204,22,0.011769679374992847
1685892566.685657,23,0.01155138947069645
1685892588.696685,24,0.01133840810507536
1685892610.7214687,25,0.011252384632825851
1685892632.8900619,26,0.011203412897884846
1685892654.9284058,27,0.010929792188107967
1685892676.9838576,28,0.011060331016778946
1685892698.963667,29,0.011117077432572842
