Wall time,Step,Value
1692000921.047503,1,0.019311044365167618
1692000961.2812483,2,0.01442758273333311
1692001002.050132,3,0.012143638916313648
1692001040.6797287,4,0.010910040698945522
1692001079.2912824,5,0.009966892190277576
1692001117.9000142,6,0.00919708888977766
1692001160.1909711,7,0.008779861032962799
1692001201.4048696,8,0.008261975832283497
1692001239.0489268,9,0.00795821938663721
1692001277.7577927,10,0.0076454333029687405
1692001316.687453,11,0.00748892966657877
1692001354.698828,12,0.007212336640805006
1692001394.5889063,13,0.00707649253308773
1692001434.2007759,14,0.006898738443851471
1692001473.9501648,15,0.006772355176508427
1692001511.3704233,16,0.006652568932622671
1692001550.2888873,17,0.006569103337824345
1692001590.5374088,18,0.006485572550445795
1692001629.4932377,19,0.006417533382773399
1692001668.3078306,20,0.0063691092655062675
1692001710.5581195,21,0.006312068086117506
1692001748.3807821,22,0.0062701026909053326
1692001789.0531175,23,0.00622545275837183
1692001828.2602775,24,0.00620225677266717
1692001868.0583634,25,0.006171432789415121
1692001909.4841805,26,0.006150526460260153
1692001943.8696346,27,0.006128961220383644
1692001983.6057396,28,0.0061105345375835896
1692002023.656277,29,0.00609585689380765
1692002065.1782966,30,0.006082132924348116
