Wall time,Step,Value
1691360789.0840652,1,0.0219147689640522
1691360826.800704,2,0.01830664649605751
1691360865.3255153,3,0.016947023570537567
1691360902.055541,4,0.015838658437132835
1691360936.3897455,5,0.015187053941190243
1691360972.4706388,6,0.01447463221848011
1691361008.7877443,7,0.014018401503562927
1691361044.179559,8,0.013505721464753151
1691361081.0260937,9,0.013172461651265621
1691361115.7176652,10,0.012830459512770176
1691361149.5102198,11,0.012665821239352226
1691361185.5666208,12,0.012245015241205692
1691361223.896698,13,0.01207298506051302
1691361260.2685306,14,0.011745263822376728
1691361296.004028,15,0.011554398573935032
1691361332.0799897,16,0.01136043481528759
1691361368.0319777,17,0.011193282902240753
1691361405.525203,18,0.011001654900610447
1691361441.1094522,19,0.010890580713748932
1691361476.6781282,20,0.01078709401190281
1691361514.1701257,21,0.010667572729289532
1691361549.271397,22,0.010584891773760319
1691361585.8039978,23,0.01047502364963293
1691361622.5088966,24,0.010451299138367176
1691361659.840906,25,0.0103748245164752
1691361697.3496318,26,0.010344963520765305
1691361731.0954306,27,0.010293606668710709
1691361766.203502,28,0.010243796743452549
1691361802.4595711,29,0.010210334323346615
1691361833.3217523,30,0.010179576463997364
