Wall time,Step,Value
1691361894.790439,1,0.015340820886194706
1691361919.0295596,2,0.011373975314199924
1691361957.9668925,3,0.01051710732281208
1691361993.1545775,4,0.009583694860339165
1691362030.5287774,5,0.009065110236406326
1691362067.586528,6,0.008429348468780518
1691362104.0137675,7,0.007947448641061783
1691362137.4604073,8,0.007566094398498535
1691362171.9360924,9,0.007349119056016207
1691362205.600234,10,0.007146371994167566
1691362242.877682,11,0.006835314445197582
1691362280.0698712,12,0.006619468331336975
1691362315.342284,13,0.006456077564507723
1691362349.2893271,14,0.006283890921622515
1691362385.9451911,15,0.006133750546723604
1691362418.84596,16,0.006033344194293022
1691362455.8833635,17,0.005915540736168623
1691362491.170012,18,0.005833702627569437
1691362525.5131571,19,0.005758817307651043
1691362560.9249892,20,0.0056931511498987675
1691362599.0656414,21,0.005639624781906605
1691362636.0987372,22,0.005597913172096014
1691362671.6990366,23,0.00555424252524972
1691362711.2146368,24,0.005523974541574717
1691362745.7026901,25,0.005492970813065767
1691362781.0796971,26,0.0054684956558048725
1691362817.813657,27,0.005445833317935467
1691362852.371966,28,0.005430796183645725
1691362888.0387866,29,0.005413257982581854
1691362923.2066615,30,0.005398539360612631
