Wall time,Step,Value
1688031048.7241018,1,0.03002253733575344
1688031083.0605903,2,0.01731717586517334
1688031126.542449,3,0.015060976147651672
1688031187.493147,4,0.0138065991923213
1688031262.493222,5,0.012927809730172157
1688031329.127793,6,0.012085746973752975
1688031402.0713248,7,0.011462533846497536
1688031473.7796893,8,0.011079920455813408
1688031545.877327,9,0.010905707255005836
1688031614.9872637,10,0.01052019465714693
1688031688.679092,11,0.010223622433841228
1688031756.699774,12,0.009997935965657234
1688031828.4856732,13,0.009804806672036648
1688031894.0346403,14,0.009622990153729916
1688031956.8572564,15,0.009466311894357204
1688032024.6238456,16,0.009396088309586048
1688032095.770587,17,0.009414899162948132
1688032170.2177436,18,0.009549681097269058
1688032238.3779757,19,0.009335514158010483
1688032305.8004348,20,0.009154574014246464
1688032377.2304194,21,0.009046914987266064
1688032440.2779746,22,0.008931153453886509
1688032504.7344224,23,0.008822840638458729
1688032568.2955217,24,0.008804316632449627
1688032631.9588988,25,0.008791054598987103
1688032693.642787,26,0.008687399327754974
1688032767.4425192,27,0.008589713834226131
1688032834.3433285,28,0.008556706830859184
1688032898.975759,29,0.008457858115434647
1688032967.3748245,30,0.008464841172099113
