Wall time,Step,Value
1688905007.1577542,1,0.013149864971637726
1688905012.2919092,2,0.009815948083996773
1688905017.3939636,3,0.008527073077857494
1688905022.4036317,4,0.007731683552265167
1688905027.5475957,5,0.0069907964207232
1688905032.453948,6,0.006275703199207783
1688905037.4946592,7,0.00573350302875042
1688905042.5288072,8,0.005574440583586693
1688905047.5839803,9,0.005250853486359119
1688905052.633336,10,0.004911945667117834
1688905057.6349015,11,0.004673421382904053
1688905062.6385827,12,0.004536246415227652
1688905067.7485318,13,0.004374759737402201
1688905072.9134774,14,0.004273741506040096
1688905078.2393744,15,0.004166676662862301
1688905083.5751595,16,0.0040669674053788185
1688905088.9528592,17,0.003940626513212919
1688905094.3247259,18,0.0038624024018645287
1688905099.6269088,19,0.0037811242509633303
1688905104.856606,20,0.0037035171408206224
1688905109.0859835,21,0.0036527931224554777
1688905113.2534206,22,0.0036038209218531847
1688905117.3901155,23,0.003561022225767374
1688905121.4775968,24,0.0035335910506546497
1688905125.6696649,25,0.0035045777913182974
1688905129.7980282,26,0.0034794395323842764
1688905133.866302,27,0.003462434047833085
1688905137.9699757,28,0.003444147063419223
1688905142.043526,29,0.0034308540634810925
1688905146.1122534,30,0.003419638844206929
